call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,age_group,tariff_plan,status,age,customer_value,churn,avg_usage_per_month,monthly_call_frequency,monthly_sms_frequency,has_complaint,has_call_failures,activity_score,customer_value_group
25,0,31,3,16075,238,0,80,2,2,1,25,734.085,0,518.5483870967741,7.67741935483871,0.0,0,1,318,High
6,0,34,3,6965,116,271,33,2,2,1,25,1538.145,0,204.85294117647058,3.411764705882353,7.970588235294118,0,1,420,Very High
2,0,36,0,3718,82,2,28,2,1,1,25,180.0,0,103.27777777777777,2.2777777777777777,0.05555555555555555,0,1,112,Medium
3,0,35,0,1665,44,38,20,3,1,2,30,220.36,0,47.57142857142857,1.2571428571428571,1.0857142857142856,0,1,102,Medium
6,0,36,0,2780,53,175,23,2,1,1,25,914.985,0,77.22222222222223,1.4722222222222223,4.861111111111111,0,1,251,Very High
4,0,27,1,1315,36,193,11,2,2,1,25,929.295,0,48.7037037037037,1.3333333333333333,7.148148148148148,0,1,240,Very High
4,0,26,0,1568,39,30,68,4,1,1,45,115.175,0,60.30769230769231,1.5,1.1538461538461537,0,1,137,Low
11,0,27,0,700,25,10,7,2,1,2,25,77.625,0,25.925925925925927,0.9259259259259259,0.37037037037037035,0,1,42,Low
0,0,26,0,825,10,21,3,4,1,2,45,73.375,1,31.73076923076923,0.38461538461538464,0.8076923076923077,0,0,34,Low
10,0,25,0,1225,32,19,13,2,1,1,25,142.065,0,49.0,1.28,0.76,0,1,64,Medium
2,0,25,0,3225,61,8,23,3,1,1,30,163.44,0,129.0,2.44,0.32,0,1,92,Medium
2,0,18,0,1695,26,28,14,2,1,1,25,203.445,0,94.16666666666667,1.4444444444444444,1.5555555555555556,0,1,68,Medium
16,0,17,1,6393,141,85,42,2,2,1,25,676.53,0,376.05882352941177,8.294117647058824,5.0,0,1,268,High
12,0,15,0,8933,171,73,40,4,1,1,45,410.1,0,595.5333333333333,11.4,4.866666666666666,0,1,284,High
8,0,16,3,2853,45,31,19,3,2,1,30,239.92,0,178.3125,2.8125,1.9375,0,1,95,High
2,0,9,1,4390,40,215,10,3,1,1,30,1037.2,0,487.77777777777777,4.444444444444445,23.88888888888889,0,1,265,Very High
3,0,9,1,1488,19,0,7,3,1,1,30,60.28,1,165.33333333333334,2.111111111111111,0.0,0,1,26,Low
11,0,40,1,4430,74,10,19,3,1,1,30,220.16,0,110.75,1.85,0.25,0,1,103,Medium
3,0,41,1,378,8,12,6,3,1,1,30,63.44,0,9.21951219512195,0.1951219512195122,0.2926829268292683,0,1,26,Low
13,0,39,1,2513,63,364,26,3,1,1,30,1559.04,0,64.43589743589743,1.6153846153846154,9.333333333333334,0,1,453,Very High
13,0,40,1,4258,69,6,37,1,1,1,15,270.985,0,106.45,1.725,0.15,0,1,112,High
6,0,40,1,2453,61,7,35,2,1,1,25,144.63,0,61.325,1.525,0.175,0,1,103,Medium
14,0,40,2,3835,85,37,30,3,2,1,30,304.8,0,95.875,2.125,0.925,0,1,152,High
7,0,40,1,2420,42,290,20,3,1,1,30,1258.48,0,60.5,1.05,7.25,0,1,352,Very High
16,0,39,3,9175,124,149,45,3,1,1,30,967.96,0,235.25641025641025,3.1794871794871793,3.8205128205128207,0,1,318,Very High
10,0,40,1,13833,172,5,46,3,1,1,30,580.2,0,345.825,4.3,0.125,0,1,223,High
10,0,40,2,4575,86,7,27,3,1,1,30,214.44,0,114.375,2.15,0.175,0,1,120,Medium
9,0,40,1,5978,98,12,14,3,1,1,30,291.04,0,149.45,2.45,0.3,0,1,124,High
12,0,40,1,2298,57,13,19,3,1,1,30,146.2,0,57.45,1.425,0.325,0,1,89,Medium
28,0,40,4,15200,228,59,34,3,1,1,30,853.12,0,380.0,5.7,1.475,0,1,321,Very High
7,0,40,2,3155,30,488,10,3,1,1,30,2079.4,0,78.875,0.75,12.2,0,1,528,Very High
12,0,39,1,15545,185,155,32,2,1,1,25,1405.35,0,398.5897435897436,4.743589743589744,3.9743589743589745,0,1,372,Very High
6,0,39,2,6560,89,191,28,3,1,1,30,1029.96,0,168.2051282051282,2.282051282051282,4.897435897435898,0,1,308,Very High
3,0,39,1,935,17,5,13,2,1,1,25,65.34,0,23.974358974358974,0.4358974358974359,0.1282051282051282,0,1,35,Low
5,0,40,1,770,17,18,10,3,1,1,30,103.48,0,19.25,0.425,0.45,0,1,45,Low
3,1,39,1,60,3,5,2,2,1,1,25,25.335,1,1.5384615384615385,0.07692307692307693,0.1282051282051282,1,1,10,Low
6,0,39,1,7568,130,389,45,3,1,1,30,1863.92,0,194.05128205128204,3.3333333333333335,9.974358974358974,0,1,564,Very High
10,0,39,2,11525,157,16,49,4,2,1,45,332.05,0,295.5128205128205,4.0256410256410255,0.41025641025641024,0,1,222,High
11,0,39,2,6778,78,113,39,2,1,1,25,817.02,0,173.7948717948718,2.0,2.8974358974358974,0,1,230,Very High
26,1,35,1,1015,50,21,19,3,1,1,30,126.6,1,29.0,1.4285714285714286,0.6,1,1,90,Medium
24,1,38,9,10495,96,6,44,5,2,1,55,167.865,0,276.1842105263158,2.526315789473684,0.15789473684210525,1,1,146,Medium
16,0,38,2,5878,101,31,26,2,1,1,25,408.555,0,154.68421052631578,2.6578947368421053,0.8157894736842105,0,1,158,High
4,0,36,1,2900,25,5,16,3,1,1,30,137.0,0,80.55555555555556,0.6944444444444444,0.1388888888888889,0,1,46,Medium
12,0,37,1,3050,44,14,18,3,1,1,30,179.76,1,82.43243243243244,1.1891891891891893,0.3783783783783784,0,1,76,Medium
12,1,38,1,2328,47,39,33,3,1,1,30,251.0,1,61.26315789473684,1.236842105263158,1.0263157894736843,1,1,119,High
3,0,38,1,193,5,5,4,3,1,1,30,27.92,1,5.078947368421052,0.13157894736842105,0.13157894736842105,0,1,14,Low
4,0,38,1,1728,28,5,8,4,1,1,45,56.4,0,45.473684210526315,0.7368421052631579,0.13157894736842105,0,1,41,Low
6,0,35,2,6845,100,19,24,5,1,1,55,132.675,0,195.57142857142858,2.857142857142857,0.5428571428571428,0,1,143,Medium
3,0,38,1,688,10,14,6,4,1,1,45,52.45,1,18.105263157894736,0.2631578947368421,0.3684210526315789,0,1,30,Low
3,0,38,2,398,7,9,4,5,1,1,55,19.575,0,10.473684210526315,0.18421052631578946,0.23684210526315788,0,1,20,Low
28,0,33,4,16135,241,5,82,2,1,1,25,759.42,0,488.93939393939394,7.303030303030303,0.15151515151515152,0,1,328,High
9,1,36,4,7025,119,276,35,3,2,1,30,1389.76,0,195.13888888888889,3.3055555555555554,7.666666666666667,1,1,430,Very High
5,0,38,1,3778,85,7,30,3,1,1,30,182.52,0,99.42105263157895,2.236842105263158,0.18421052631578946,0,1,122,Medium
6,0,37,1,1725,47,43,22,3,1,1,30,242.88,0,46.62162162162162,1.2702702702702702,1.162162162162162,0,1,112,High
9,0,38,1,2840,56,180,25,2,1,1,25,940.32,0,74.73684210526316,1.4736842105263157,4.7368421052631575,0,1,261,Very High
7,0,29,2,1375,39,198,13,3,2,1,30,848.56,0,47.41379310344828,1.3448275862068966,6.827586206896552,0,1,250,Very High
7,0,28,1,1628,42,35,70,4,1,1,45,129.25,0,58.142857142857146,1.5,1.25,0,1,147,Medium
14,0,29,1,760,28,15,9,3,1,1,30,91.52,0,26.20689655172414,0.9655172413793104,0.5172413793103449,0,1,52,Low
3,0,28,1,885,13,26,5,4,1,1,45,87.45,0,31.607142857142858,0.4642857142857143,0.9285714285714286,0,1,44,Low
13,0,27,1,1285,35,24,15,2,1,1,25,167.4,0,47.592592592592595,1.2962962962962963,0.8888888888888888,0,1,74,Medium
5,0,27,1,3285,64,13,25,3,1,1,30,185.96,0,121.66666666666667,2.3703703703703702,0.48148148148148145,0,1,102,Medium
5,0,20,1,1755,29,33,16,2,1,1,25,228.78,0,87.75,1.45,1.65,0,1,78,Medium
19,0,19,2,6453,144,90,44,2,2,1,25,701.865,0,339.63157894736844,7.578947368421052,4.7368421052631575,0,1,278,High
15,0,17,1,8993,174,78,42,5,1,1,55,254.505,0,529.0,10.235294117647058,4.588235294117647,0,1,294,High
11,0,18,4,2913,48,36,21,3,1,1,30,262.44,0,161.83333333333334,2.6666666666666665,2.0,0,1,105,High
5,0,11,2,4450,43,220,12,3,1,1,30,1059.72,0,404.54545454545456,3.909090909090909,20.0,0,1,275,Very High
6,1,11,2,1548,22,5,9,3,1,1,30,82.8,1,140.72727272727272,2.0,0.45454545454545453,1,1,36,Low
5,0,36,0,4310,68,0,15,2,1,1,25,197.01,0,119.72222222222223,1.8888888888888888,0.0,0,1,83,Medium
0,0,37,0,258,2,2,2,2,1,2,25,20.7,0,6.972972972972973,0.05405405405405406,0.05405405405405406,0,0,6,Low
7,0,35,0,2393,57,354,22,2,1,1,25,1703.25,0,68.37142857142857,1.6285714285714286,10.114285714285714,0,1,433,Very High
7,0,36,0,4138,63,0,33,1,1,1,15,231.055,0,114.94444444444444,1.75,0.0,0,1,96,Medium
0,0,36,0,2333,55,0,31,1,1,1,15,131.34,0,64.80555555555556,1.5277777777777777,0.0,0,0,86,Medium
8,0,36,0,3715,79,27,26,3,1,1,30,259.76,0,103.19444444444444,2.1944444444444446,0.75,0,1,132,High
1,0,36,0,2300,36,280,16,3,1,1,30,1213.44,0,63.888888888888886,1.0,7.777777777777778,0,1,332,Very High
10,0,35,1,9055,118,139,41,3,1,1,30,922.92,0,258.7142857142857,3.3714285714285714,3.9714285714285715,0,1,298,Very High
4,0,36,0,13713,166,0,42,3,1,1,30,555.16,0,380.9166666666667,4.611111111111111,0.0,0,1,208,High
4,0,36,0,4455,80,0,23,3,1,1,30,181.4,0,123.75,2.2222222222222223,0.0,0,1,103,Medium
3,0,36,0,5858,92,2,10,2,1,1,25,276.75,0,162.72222222222223,2.5555555555555554,0.05555555555555555,0,1,104,High
6,1,36,0,2178,51,3,15,3,1,2,30,101.16,0,60.5,1.4166666666666667,0.08333333333333333,1,1,69,Low
22,0,36,2,15080,222,49,30,3,1,1,30,808.08,0,418.8888888888889,6.166666666666667,1.3611111111111112,0,1,301,Very High
1,0,36,0,3035,24,478,6,3,1,1,30,2034.36,0,84.30555555555556,0.6666666666666666,13.277777777777779,0,1,508,Very High
6,0,35,0,15425,179,145,28,2,1,1,25,1354.68,0,440.7142857142857,5.114285714285714,4.142857142857143,0,1,352,Very High
0,0,35,0,6440,83,181,24,3,1,1,30,984.92,0,184.0,2.3714285714285714,5.171428571428572,0,0,288,Very High
0,0,35,0,815,11,0,9,2,1,2,25,37.17,0,23.285714285714285,0.3142857142857143,0.0,0,0,20,Low
0,0,36,0,650,11,8,6,2,1,2,25,65.745,0,18.055555555555557,0.3055555555555556,0.2222222222222222,0,0,25,Low
0,0,35,0,0,0,0,0,2,1,2,25,0.0,1,0.0,0.0,0.0,0,0,0,Low
0,0,35,0,7448,124,379,41,2,1,1,25,2046.24,0,212.8,3.5428571428571427,10.82857142857143,0,0,544,Very High
4,0,35,0,11405,151,6,45,3,1,1,30,486.24,0,325.85714285714283,4.314285714285714,0.17142857142857143,0,1,202,High
5,0,35,0,6658,72,103,35,2,1,1,25,766.35,0,190.22857142857143,2.057142857142857,2.942857142857143,0,1,210,High
20,0,31,0,895,44,11,15,2,1,2,25,91.755,1,28.870967741935484,1.4193548387096775,0.3548387096774194,0,1,70,Low
18,0,34,7,10375,90,0,40,4,1,1,45,261.625,0,305.1470588235294,2.6470588235294117,0.0,0,1,130,High
10,0,34,0,5758,95,21,22,2,1,1,25,357.885,1,169.35294117647058,2.7941176470588234,0.6176470588235294,0,1,138,High
0,0,32,0,2780,19,0,12,3,1,1,30,111.96,0,86.875,0.59375,0.0,0,0,31,Low
6,0,33,0,2930,38,4,14,2,1,2,25,151.56,1,88.78787878787878,1.1515151515151516,0.12121212121212122,0,1,56,Medium
6,1,34,0,2208,41,29,29,3,1,2,30,205.96,1,64.94117647058823,1.2058823529411764,0.8529411764705882,1,1,99,Medium
0,1,34,0,0,0,0,0,3,1,2,30,0.0,1,0.0,0.0,0.0,1,0,0,Low
0,0,34,0,1608,22,0,4,3,1,1,30,65.2,0,47.294117647058826,0.6470588235294118,0.0,0,0,26,Low
0,0,31,0,6725,94,9,20,4,1,1,45,192.975,0,216.93548387096774,3.032258064516129,0.2903225806451613,0,0,123,Medium
0,0,34,0,568,4,4,2,4,1,2,45,24.3,1,16.705882352941178,0.11764705882352941,0.11764705882352941,0,0,10,Low
0,0,34,0,0,0,0,0,5,1,1,55,0.0,0,0.0,0.0,0.0,0,0,0,Low
22,0,29,2,16015,235,0,78,2,1,1,25,731.25,0,552.2413793103449,8.10344827586207,0.0,0,1,313,High
3,0,32,2,6905,113,266,31,2,2,1,25,1512.81,0,215.78125,3.53125,8.3125,0,1,410,Very High
0,0,34,0,3658,79,0,26,2,1,1,25,168.165,0,107.58823529411765,2.323529411764706,0.0,0,0,105,Medium
0,0,33,0,1605,41,33,18,3,1,2,30,197.84,0,48.63636363636363,1.2424242424242424,1.0,0,0,92,Medium
3,0,34,0,2720,50,170,21,2,1,1,25,889.65,0,80.0,1.4705882352941178,5.0,0,1,241,Very High
1,0,25,0,1255,33,188,9,2,2,1,25,903.96,0,50.2,1.32,7.52,0,1,230,Very High
1,0,24,0,1508,36,25,66,4,1,1,45,101.1,0,62.833333333333336,1.5,1.0416666666666667,0,1,127,Low
8,0,25,0,640,22,5,5,2,1,2,25,52.29,0,25.6,0.88,0.2,0,1,32,Low
0,1,24,0,765,7,16,1,4,1,2,45,59.3,1,31.875,0.2916666666666667,0.6666666666666666,1,0,24,Low
7,0,23,0,1165,29,14,11,2,1,1,25,116.73,0,50.65217391304348,1.2608695652173914,0.6086956521739131,0,1,54,Low
0,0,23,0,3165,58,3,21,3,1,1,30,140.92,0,137.6086956521739,2.5217391304347827,0.13043478260869565,0,0,82,Medium
0,0,16,0,1635,23,23,12,2,1,1,25,178.11,0,102.1875,1.4375,1.4375,0,0,58,Medium
13,0,15,0,6333,138,80,40,1,2,1,15,795.905,0,422.2,9.2,5.333333333333333,0,1,258,Very High
9,0,13,0,8873,168,68,38,4,1,1,45,396.025,0,682.5384615384615,12.923076923076923,5.230769230769231,0,1,274,High
5,0,14,2,2793,42,26,17,3,1,1,30,217.4,0,199.5,3.0,1.8571428571428572,0,1,85,Medium
0,0,7,0,4330,37,210,8,3,1,1,30,1014.68,0,618.5714285714286,5.285714285714286,30.0,0,0,255,Very High
0,0,7,0,1428,16,0,5,3,1,1,30,57.76,1,204.0,2.2857142857142856,0.0,0,0,21,Low
9,0,42,1,4450,73,15,21,3,1,1,30,240.92,0,105.95238095238095,1.7380952380952381,0.35714285714285715,0,1,109,High
1,1,43,0,398,7,17,8,3,1,2,30,84.2,1,9.255813953488373,0.16279069767441862,0.3953488372093023,1,1,32,Low
11,0,41,1,2533,62,369,28,3,1,1,30,1579.8,0,61.78048780487805,1.5121951219512195,9.0,0,1,459,Very High
11,0,42,1,4278,68,11,39,1,1,1,15,299.53,0,101.85714285714286,1.619047619047619,0.2619047619047619,0,1,118,High
4,0,42,1,2473,60,12,37,2,1,1,25,167.985,0,58.88095238095238,1.4285714285714286,0.2857142857142857,0,1,109,Medium
12,0,42,2,3855,84,42,32,3,1,1,30,325.56,0,91.78571428571429,2.0,1.0,0,1,158,High
5,0,42,1,2440,41,295,22,3,1,1,30,1279.24,0,58.095238095238095,0.9761904761904762,7.023809523809524,0,1,358,Very High
14,0,41,3,9195,123,154,47,3,1,1,30,988.72,0,224.26829268292684,3.0,3.7560975609756095,0,1,324,Very High
8,0,42,1,13853,171,10,48,3,1,1,30,600.96,0,329.8333333333333,4.071428571428571,0.23809523809523808,0,1,229,High
8,0,42,2,4595,85,12,29,3,1,1,30,235.2,0,109.4047619047619,2.0238095238095237,0.2857142857142857,0,1,126,High
7,0,42,1,5998,97,17,16,3,1,1,30,311.8,0,142.8095238095238,2.3095238095238093,0.40476190476190477,0,1,130,High
10,0,42,0,2318,56,18,21,3,1,2,30,166.96,0,55.19047619047619,1.3333333333333333,0.42857142857142855,0,1,95,Medium
26,0,42,4,15220,227,64,36,3,2,1,30,873.88,0,362.3809523809524,5.404761904761905,1.5238095238095237,0,1,327,Very High
5,0,42,2,3175,29,493,12,3,1,1,30,2100.16,0,75.5952380952381,0.6904761904761905,11.738095238095237,0,1,534,Very High
10,0,41,1,15565,184,160,34,2,1,1,25,1428.705,0,379.6341463414634,4.487804878048781,3.902439024390244,0,1,378,Very High
4,0,41,2,6580,88,196,30,3,1,1,30,1050.72,0,160.4878048780488,2.1463414634146343,4.780487804878049,0,1,314,Very High
1,0,41,0,955,16,10,15,2,1,2,25,88.695,0,23.29268292682927,0.3902439024390244,0.24390243902439024,0,1,41,Low
3,0,42,0,790,16,23,12,3,1,2,30,124.24,0,18.80952380952381,0.38095238095238093,0.5476190476190477,0,1,51,Medium
1,0,41,0,80,2,10,4,2,1,2,25,48.69,1,1.951219512195122,0.04878048780487805,0.24390243902439024,0,1,16,Low
4,0,41,1,7588,129,394,47,3,1,1,30,1884.68,0,185.0731707317073,3.1463414634146343,9.609756097560975,0,1,570,Very High
8,0,41,2,11545,156,21,51,4,1,1,45,345.025,0,281.5853658536585,3.8048780487804876,0.5121951219512195,0,1,228,High
9,0,41,2,6798,77,118,41,2,1,1,25,840.375,0,165.8048780487805,1.8780487804878048,2.8780487804878048,0,1,236,Very High
24,1,37,0,1035,49,26,21,3,1,2,30,147.36,1,27.972972972972972,1.3243243243243243,0.7027027027027027,1,1,96,Medium
22,1,40,9,10515,95,11,46,5,1,1,55,175.65,0,262.875,2.375,0.275,1,1,152,Medium
14,0,40,2,5898,100,36,28,2,1,1,25,431.91,1,147.45,2.5,0.9,0,1,164,High
2,0,38,1,2920,24,10,18,3,1,1,30,157.76,0,76.84210526315789,0.631578947368421,0.2631578947368421,0,1,52,Medium
10,0,39,0,3070,43,19,20,3,1,2,30,200.52,1,78.71794871794872,1.1025641025641026,0.48717948717948717,0,1,82,Medium
10,1,40,0,2348,46,44,35,3,1,2,30,271.76,1,58.7,1.15,1.1,1,1,125,High
1,0,40,0,213,4,10,6,3,1,2,30,48.68,1,5.325,0.1,0.25,0,1,20,Low
2,0,40,1,1748,27,10,10,4,1,1,45,69.375,0,43.7,0.675,0.25,0,1,47,Low
4,0,37,2,6865,99,24,26,5,1,1,55,140.46,0,185.54054054054055,2.675675675675676,0.6486486486486487,0,1,149,Medium
1,1,40,0,708,9,19,8,4,1,2,45,65.425,1,17.7,0.225,0.475,1,1,36,Low
1,0,40,2,418,6,14,6,5,1,1,55,27.36,0,10.45,0.15,0.35,0,1,26,Low
26,0,35,4,16155,240,10,84,2,1,1,25,782.775,0,461.57142857142856,6.857142857142857,0.2857142857142857,0,1,334,High
7,1,38,4,7045,118,281,37,2,2,1,25,1586.835,0,185.39473684210526,3.1052631578947367,7.394736842105263,1,1,436,Very High
3,0,40,1,3798,84,12,32,3,1,1,30,203.28,0,94.95,2.1,0.3,0,1,128,Medium
4,0,39,0,1745,46,48,24,3,1,2,30,263.64,0,44.743589743589745,1.1794871794871795,1.2307692307692308,0,1,118,High
7,0,40,1,2860,55,185,27,2,1,1,25,963.675,0,71.5,1.375,4.625,0,1,267,Very High
5,0,31,2,1395,38,203,15,2,2,1,25,977.985,0,45.0,1.2258064516129032,6.548387096774194,0,1,256,Very High
5,0,30,1,1648,41,40,72,4,1,1,45,142.225,0,54.93333333333333,1.3666666666666667,1.3333333333333333,0,1,153,Medium
12,0,31,0,780,27,20,11,3,1,2,30,112.28,0,25.161290322580644,0.8709677419354839,0.6451612903225806,0,1,58,Low
1,0,30,0,905,12,31,7,4,1,2,45,100.425,0,30.166666666666668,0.4,1.0333333333333334,0,1,50,Low
11,0,29,1,1305,34,29,17,2,1,1,25,190.755,0,45.0,1.1724137931034482,1.0,0,1,80,Medium
3,0,29,1,3305,63,18,27,3,1,1,30,206.72,0,113.96551724137932,2.1724137931034484,0.6206896551724138,0,1,108,Medium
3,0,22,1,1775,28,38,18,2,1,1,25,252.135,0,80.68181818181819,1.2727272727272727,1.7272727272727273,0,1,84,High
17,0,21,2,6473,143,95,46,2,2,1,25,725.22,0,308.23809523809524,6.809523809523809,4.523809523809524,0,1,284,High
13,0,19,1,9013,173,83,44,5,1,1,55,262.29,0,474.36842105263156,9.105263157894736,4.368421052631579,0,1,300,High
9,0,20,4,2933,47,41,23,3,1,1,30,283.2,0,146.65,2.35,2.05,0,1,111,High
3,0,13,2,4470,42,225,14,3,1,1,30,1080.48,0,343.84615384615387,3.230769230769231,17.307692307692307,0,1,281,Very High
4,0,13,2,1568,21,10,11,3,1,1,30,103.56,1,120.61538461538461,1.6153846153846154,0.7692307692307693,0,1,42,Low
7,0,34,0,4290,69,0,13,2,1,1,25,196.155,0,126.17647058823529,2.0294117647058822,0.0,0,1,82,Medium
0,0,35,0,0,0,0,0,2,1,2,25,0.0,0,0.0,0.0,0.0,0,0,0,Low
9,0,33,0,2373,58,349,20,2,1,1,25,1679.895,0,71.9090909090909,1.7575757575757576,10.575757575757576,0,1,427,Very High
9,0,34,0,4118,64,0,31,1,1,1,15,230.01,0,121.11764705882354,1.8823529411764706,0.0,0,1,95,Medium
2,0,34,0,2313,56,0,29,1,1,1,15,130.295,0,68.02941176470588,1.6470588235294117,0.0,0,1,85,Medium
10,0,34,0,3695,80,22,24,3,1,1,30,239.0,0,108.67647058823529,2.3529411764705883,0.6470588235294118,0,1,126,High
3,0,34,0,2280,37,275,14,3,1,1,30,1192.68,0,67.05882352941177,1.088235294117647,8.088235294117647,0,1,326,Very High
12,0,33,1,9035,119,134,39,3,1,1,30,902.16,0,273.7878787878788,3.606060606060606,4.0606060606060606,0,1,292,Very High
6,0,34,0,13693,167,0,40,3,1,1,30,554.4,0,402.7352941176471,4.911764705882353,0.0,0,1,207,High
6,0,34,0,4435,81,0,21,3,1,1,30,180.64,0,130.44117647058823,2.3823529411764706,0.0,0,1,102,Medium
5,0,34,0,5838,93,0,8,2,1,1,25,266.895,0,171.7058823529412,2.735294117647059,0.0,0,1,101,High
8,0,34,0,2158,52,0,13,3,1,2,30,88.4,0,63.470588235294116,1.5294117647058822,0.0,0,1,65,Low
24,0,34,2,15060,223,44,28,3,1,1,30,787.32,0,442.94117647058823,6.5588235294117645,1.2941176470588236,0,1,295,High
3,0,34,0,3015,25,473,4,3,1,1,30,2013.6,0,88.67647058823529,0.7352941176470589,13.911764705882353,0,1,502,Very High
8,0,33,0,15405,180,140,26,2,1,1,25,1331.325,0,466.8181818181818,5.454545454545454,4.242424242424242,0,1,346,Very High
2,0,33,0,6420,84,176,22,3,1,1,30,964.16,0,194.54545454545453,2.5454545454545454,5.333333333333333,0,1,282,Very High
0,0,33,0,795,12,0,7,2,1,2,25,36.315,0,24.09090909090909,0.36363636363636365,0.0,0,0,19,Low
1,0,34,0,630,12,3,4,2,1,2,25,42.39,0,18.529411764705884,0.35294117647058826,0.08823529411764706,0,1,19,Low
0,0,33,0,0,0,0,0,2,1,2,25,0.0,1,0.0,0.0,0.0,0,0,0,Low
2,0,33,0,7428,125,374,39,2,1,1,25,2022.885,0,225.0909090909091,3.787878787878788,11.333333333333334,0,1,538,Very High
6,0,33,0,11385,152,1,43,3,1,1,30,465.48,0,345.0,4.606060606060606,0.030303030303030304,0,1,196,High
